epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.1795,0,1,1,0,0.000661376,0.000661376,0.000661376
2,19.1145,0,1,1,0,0.00128422,0.00128422,0.00128422
3,25.813,0,1,1,0,0.00186306,0.00186306,0.00186306
4,32.4623,0,1,1,0,0.001802,0.001802,0.001802
5,38.9362,0,1,1,0,0.001736,0.001736,0.001736
6,45.4461,0,1,1,0,0.00167,0.00167,0.00167
7,51.861,0,1,1,0,0.001604,0.001604,0.001604
8,58.2166,0,1,1,0,0.001538,0.001538,0.001538
9,65.0086,0,1,1,0,0.001472,0.001472,0.001472
10,71.4318,0,1,1,0,0.001406,0.001406,0.001406
11,77.7964,0,1,1,0,0.00134,0.00134,0.00134
12,84.1034,0,1,1,0,0.001274,0.001274,0.001274
13,90.5108,0,1,1,0,0.001208,0.001208,0.001208
14,96.8533,0,1,1,0,0.001142,0.001142,0.001142
15,103.245,0,1,1,0,0.001076,0.001076,0.001076
16,110.092,0,1,1,0,0.00101,0.00101,0.00101
17,116.416,0,1,1,0,0.000944,0.000944,0.000944
18,122.809,0,1,1,0,0.000878,0.000878,0.000878
19,129.167,0,1,1,0,0.000812,0.000812,0.000812
20,135.683,0,1,1,0,0.000746,0.000746,0.000746
21,208.79,0,1,1,0,0.00068,0.00068,0.00068
22,215.248,0,1,1,0,0.000614,0.000614,0.000614
23,221.708,0,1,1,0,0.000548,0.000548,0.000548
24,228.201,0,1,1,0,0.000482,0.000482,0.000482
25,234.736,0,1,1,0,0.000416,0.000416,0.000416
26,241.273,0,1,1,0,0.00035,0.00035,0.00035
27,247.779,0,1,1,0,0.000284,0.000284,0.000284
28,254.231,0,1,1,0,0.000218,0.000218,0.000218
29,260.657,0,1,1,0,0.000152,0.000152,0.000152
30,267.075,0,1,1,0,8.6e-05,8.6e-05,8.6e-05
